entry_time,exit_time,side,entry,exit,stop_loss,take_profit,pnl_points,bars_held,exit_reason
2024-08-19 19:00:00+00:00,2024-08-19 23:00:00+00:00,short,58957.5,59557.5,59557.5,58849.64,-600.0,4,stop_loss
2024-08-21 23:00:00+00:00,2024-08-22 02:00:00+00:00,short,61143.0,60436.39,61743.0,60436.39,706.61,3,take_profit
2024-08-24 00:00:00+00:00,2024-08-24 11:00:00+00:00,short,63966.5,63972.83,64566.5,63972.83,-6.33,11,take_profit
2024-08-28 10:00:00+00:00,2024-08-28 13:00:00+00:00,short,59754.5,59410.22,60354.5,59410.22,344.28,3,take_profit
2024-09-02 15:00:00+00:00,2024-09-02 20:00:00+00:00,short,58531.0,59131.0,59131.0,58303.19,-600.0,5,stop_loss
2024-09-03 02:00:00+00:00,2024-09-03 04:00:00+00:00,short,59304.5,59007.07,59904.5,59007.07,297.43,2,take_profit
2024-09-04 18:00:00+00:00,2024-09-04 22:00:00+00:00,short,57683.0,58283.0,58283.0,57722.04,-600.0,4,stop_loss
2024-09-06 03:00:00+00:00,2024-09-06 06:00:00+00:00,short,56577.0,56291.68,57177.0,56291.68,285.32,3,take_profit
2024-09-08 18:00:00+00:00,2024-09-08 22:00:00+00:00,short,54403.0,55003.0,55003.0,54209.48,-600.0,4,stop_loss
2024-09-09 09:00:00+00:00,2024-09-09 13:00:00+00:00,short,55149.5,55749.5,55749.5,55031.26,-600.0,4,stop_loss
2024-09-09 23:00:00+00:00,2024-09-10 00:00:00+00:00,short,57039.0,56628.67,57639.0,56628.67,410.33,1,take_profit
2024-09-10 08:00:00+00:00,2024-09-10 13:00:00+00:00,short,57046.5,56856.88,57646.5,56856.88,189.62,5,take_profit
2024-09-10 20:00:00+00:00,2024-09-11 01:00:00+00:00,short,57561.5,57183.15,58161.5,57183.15,378.35,5,take_profit
2024-09-11 20:00:00+00:00,2024-09-12 02:00:00+00:00,short,57481.5,58081.5,58081.5,57418.95,-600.0,6,stop_loss
2024-09-12 18:00:00+00:00,2024-09-12 21:00:00+00:00,short,58165.0,57874.58,58765.0,57874.58,290.42,3,take_profit
2024-09-17 18:00:00+00:00,2024-09-17 19:00:00+00:00,short,60537.0,59891.69,61137.0,59891.69,645.31,1,take_profit
2024-09-18 19:00:00+00:00,2024-09-18 20:00:00+00:00,short,60058.5,59590.84,60658.5,59590.84,467.66,1,take_profit
2024-09-19 05:00:00+00:00,2024-09-19 10:00:00+00:00,short,61991.0,62591.0,62591.0,61896.3,-600.0,5,stop_loss
2024-09-19 14:00:00+00:00,2024-09-19 16:00:00+00:00,short,62936.5,63536.5,63536.5,62625.48,-600.0,2,stop_loss
2024-09-23 04:00:00+00:00,2024-09-23 07:00:00+00:00,short,63906.5,63473.88,64506.5,63473.88,432.62,3,take_profit
2024-09-24 21:00:00+00:00,2024-09-24 22:00:00+00:00,short,64028.0,64628.0,64628.0,63742.51,-600.0,1,stop_loss
2024-09-24 23:00:00+00:00,2024-09-25 06:00:00+00:00,short,64255.0,64015.99,64855.0,64015.99,239.01,7,take_profit
2024-09-26 17:00:00+00:00,2024-09-26 20:00:00+00:00,short,65132.5,64657.0,65732.5,64657.0,475.5,3,take_profit
2024-09-27 04:00:00+00:00,2024-09-27 09:00:00+00:00,short,65301.0,65901.0,65901.0,65292.15,-600.0,5,stop_loss
2024-09-27 13:00:00+00:00,2024-09-27 14:00:00+00:00,short,65673.0,66273.0,66273.0,65392.25,-600.0,1,stop_loss
2024-09-27 15:00:00+00:00,2024-09-27 18:00:00+00:00,short,66000.0,65608.05,66600.0,65608.05,391.95,3,take_profit
2024-10-02 16:00:00+00:00,2024-10-02 18:00:00+00:00,short,61798.0,61089.41,62398.0,61089.41,708.59,2,take_profit
2024-10-03 20:00:00+00:00,2024-10-04 00:00:00+00:00,short,60773.5,60532.59,61373.5,60532.59,240.91,4,take_profit
2024-10-04 02:00:00+00:00,2024-10-04 08:00:00+00:00,short,61033.5,61633.5,61633.5,61019.59,-600.0,6,stop_loss
2024-10-04 13:00:00+00:00,2024-10-04 14:00:00+00:00,short,61569.5,61131.55,62169.5,61131.55,437.95,1,take_profit
2024-10-04 21:00:00+00:00,2024-10-04 23:00:00+00:00,short,62267.5,61985.44,62867.5,61985.44,282.06,2,take_profit
2024-10-07 15:00:00+00:00,2024-10-07 18:00:00+00:00,short,63645.0,63165.45,64245.0,63165.45,479.55,3,take_profit
2024-10-14 17:00:00+00:00,2024-10-14 22:00:00+00:00,short,65645.5,66245.5,66245.5,65620.54,-600.0,5,stop_loss
2024-10-14 23:00:00+00:00,2024-10-15 01:00:00+00:00,short,66090.5,65752.34,66690.5,65752.34,338.16,2,take_profit
2024-10-15 17:00:00+00:00,2024-10-15 21:00:00+00:00,short,66813.0,66181.6,67413.0,66181.6,631.4,4,take_profit
2024-10-16 00:00:00+00:00,2024-10-16 01:00:00+00:00,short,66886.0,67486.0,67486.0,66526.71,-600.0,1,stop_loss
2024-10-17 16:00:00+00:00,2024-10-17 18:00:00+00:00,short,67369.0,66918.77,67969.0,66918.77,450.23,2,take_profit
2024-10-18 07:00:00+00:00,2024-10-18 11:00:00+00:00,short,67988.0,67720.9,68588.0,67720.9,267.1,4,take_profit
2024-10-22 15:00:00+00:00,2024-10-22 16:00:00+00:00,short,67295.0,66952.57,67895.0,66952.57,342.43,1,take_profit
2024-10-23 21:00:00+00:00,2024-10-24 00:00:00+00:00,short,66421.5,67021.5,67021.5,66300.21,-600.0,3,stop_loss
2024-10-24 03:00:00+00:00,2024-10-24 08:00:00+00:00,short,67219.0,67002.71,67819.0,67002.71,216.29,5,take_profit
2024-10-24 15:00:00+00:00,2024-10-24 19:00:00+00:00,short,67700.0,68300.0,68300.0,67503.81,-600.0,4,stop_loss
2024-10-24 22:00:00+00:00,2024-10-25 00:00:00+00:00,short,68197.0,67917.36,68797.0,67917.36,279.64,2,take_profit
2024-10-28 13:00:00+00:00,2024-10-28 15:00:00+00:00,short,68814.5,68471.58,69414.5,68471.58,342.92,2,take_profit
2024-10-29 07:00:00+00:00,2024-10-29 13:00:00+00:00,short,71033.0,71633.0,71633.0,70979.29,-600.0,6,stop_loss
2024-10-29 19:00:00+00:00,2024-10-29 20:00:00+00:00,short,72550.5,72066.56,73150.5,72066.56,483.94,1,take_profit
2024-10-30 21:00:00+00:00,2024-10-31 01:00:00+00:00,short,72421.5,72077.07,73021.5,72077.07,344.43,4,take_profit
2024-11-03 22:00:00+00:00,2024-11-04 00:00:00+00:00,short,68868.0,68376.63,69468.0,68376.63,491.37,2,take_profit
2024-11-04 03:00:00+00:00,2024-11-04 05:00:00+00:00,short,69033.5,68738.71,69633.5,68738.71,294.79,2,take_profit
2024-11-05 09:00:00+00:00,2024-11-05 14:00:00+00:00,short,68763.5,69363.5,69363.5,68638.52,-600.0,5,stop_loss
2024-11-06 07:00:00+00:00,2024-11-06 09:00:00+00:00,short,73458.5,74058.5,74058.5,72920.46,-600.0,2,stop_loss
2024-11-06 22:00:00+00:00,2024-11-07 00:00:00+00:00,short,75636.0,75120.03,76236.0,75120.03,515.97,2,take_profit
2024-11-08 20:00:00+00:00,2024-11-09 01:00:00+00:00,short,76566.5,76272.77,77166.5,76272.77,293.73,5,take_profit
2024-11-10 01:00:00+00:00,2024-11-10 02:00:00+00:00,short,76717.5,77317.5,77317.5,76478.66,-600.0,1,stop_loss
2024-11-10 23:00:00+00:00,2024-11-11 01:00:00+00:00,short,80418.5,81018.5,81018.5,79893.44,-600.0,2,stop_loss
2024-11-11 13:00:00+00:00,2024-11-11 14:00:00+00:00,short,81856.5,82456.5,82456.5,81428.3,-600.0,1,stop_loss
2024-11-12 02:00:00+00:00,2024-11-12 04:00:00+00:00,short,87778.5,88378.5,88378.5,87205.99,-600.0,2,stop_loss
2024-11-12 07:00:00+00:00,2024-11-12 09:00:00+00:00,short,89102.5,88101.36,89702.5,88101.36,1001.14,2,take_profit
2024-11-12 21:00:00+00:00,2024-11-12 23:00:00+00:00,short,88329.0,87593.48,88929.0,87593.48,735.52,2,take_profit
2024-11-14 08:00:00+00:00,2024-11-14 10:00:00+00:00,short,90595.5,91195.5,91195.5,90085.53,-600.0,2,stop_loss
2024-11-14 12:00:00+00:00,2024-11-14 14:00:00+00:00,short,91279.0,90009.76,91879.0,90009.76,1269.24,2,take_profit
2024-11-15 23:00:00+00:00,2024-11-16 02:00:00+00:00,short,91074.5,91674.5,91674.5,90735.66,-600.0,3,stop_loss
2024-11-16 19:00:00+00:00,2024-11-16 20:00:00+00:00,short,91169.5,90729.86,91769.5,90729.86,439.64,1,take_profit
2024-11-18 04:00:00+00:00,2024-11-18 06:00:00+00:00,short,90503.0,91103.0,91103.0,90319.93,-600.0,2,stop_loss
2024-11-18 16:00:00+00:00,2024-11-18 17:00:00+00:00,short,91502.0,92102.0,92102.0,90589.85,-600.0,1,stop_loss
2024-11-19 07:00:00+00:00,2024-11-19 09:00:00+00:00,short,91696.0,91313.48,92296.0,91313.48,382.52,2,take_profit
2024-11-20 06:00:00+00:00,2024-11-20 08:00:00+00:00,short,92405.0,93005.0,93005.0,92221.6,-600.0,2,stop_loss
2024-11-21 02:00:00+00:00,2024-11-21 03:00:00+00:00,short,94385.0,94985.0,94985.0,94094.44,-600.0,1,stop_loss
2024-11-21 12:00:00+00:00,2024-11-21 14:00:00+00:00,short,97324.5,96874.04,97924.5,96874.04,450.46,2,take_profit
2024-11-21 19:00:00+00:00,2024-11-21 20:00:00+00:00,short,97891.5,98491.5,98491.5,97244.87,-600.0,1,stop_loss
2024-11-22 04:00:00+00:00,2024-11-22 07:00:00+00:00,short,98848.0,99448.0,99448.0,98501.39,-600.0,3,stop_loss
2024-11-22 08:00:00+00:00,2024-11-22 09:00:00+00:00,short,98891.0,98551.78,99491.0,98551.78,339.22,1,take_profit
2024-11-24 03:00:00+00:00,2024-11-24 08:00:00+00:00,short,98261.0,98032.63,98861.0,98032.63,228.37,5,take_profit
2024-11-25 04:00:00+00:00,2024-11-25 09:00:00+00:00,short,97860.0,98460.0,98460.0,97836.75,-600.0,5,stop_loss
2024-11-25 10:00:00+00:00,2024-11-25 12:00:00+00:00,short,98400.5,97969.0,99000.5,97969.0,431.5,2,take_profit
2024-11-26 17:00:00+00:00,2024-11-26 18:00:00+00:00,short,93636.5,92530.62,94236.5,92530.62,1105.88,1,take_profit
2024-11-27 03:00:00+00:00,2024-11-27 04:00:00+00:00,short,92645.0,93245.0,93245.0,92198.47,-600.0,1,stop_loss
2024-11-27 11:00:00+00:00,2024-11-27 12:00:00+00:00,short,93423.5,93040.74,94023.5,93040.74,382.76,1,take_profit
2024-11-27 21:00:00+00:00,2024-11-28 02:00:00+00:00,short,96322.0,95790.68,96922.0,95790.68,531.32,5,take_profit
2024-11-29 04:00:00+00:00,2024-11-29 07:00:00+00:00,short,96321.5,95891.93,96921.5,95891.93,429.57,3,take_profit
2024-11-29 16:00:00+00:00,2024-11-29 17:00:00+00:00,short,97824.0,97076.4,98424.0,97076.4,747.6,1,take_profit
2024-12-01 10:00:00+00:00,2024-12-01 13:00:00+00:00,short,96868.0,97468.0,97468.0,96667.55,-600.0,3,stop_loss
2024-12-01 22:00:00+00:00,2024-12-02 00:00:00+00:00,short,97589.0,97148.12,98189.0,97148.12,440.88,2,take_profit
2024-12-02 02:00:00+00:00,2024-12-02 03:00:00+00:00,short,97735.0,97081.47,98335.0,97081.47,653.53,1,take_profit
2024-12-02 16:00:00+00:00,2024-12-02 17:00:00+00:00,short,96225.5,95272.04,96825.5,95272.04,953.46,1,take_profit
2024-12-03 18:00:00+00:00,2024-12-03 21:00:00+00:00,short,95548.5,96148.5,96148.5,95174.66,-600.0,3,stop_loss
2024-12-03 23:00:00+00:00,2024-12-04 01:00:00+00:00,short,95913.0,96513.0,96513.0,95514.99,-600.0,2,stop_loss
2024-12-05 06:00:00+00:00,2024-12-05 07:00:00+00:00,short,101968.5,102568.5,102568.5,100753.09,-600.0,1,stop_loss
2024-12-05 10:00:00+00:00,2024-12-05 12:00:00+00:00,short,102388.0,102988.0,102988.0,102052.72,-600.0,2,stop_loss
2024-12-06 16:00:00+00:00,2024-12-06 17:00:00+00:00,short,99056.0,99656.0,99656.0,98411.87,-600.0,1,stop_loss
2024-12-06 21:00:00+00:00,2024-12-06 23:00:00+00:00,short,100473.5,99895.02,101073.5,99895.02,578.48,2,take_profit
2024-12-11 07:00:00+00:00,2024-12-11 08:00:00+00:00,short,97337.5,97937.5,97937.5,97028.68,-600.0,1,stop_loss
2024-12-11 17:00:00+00:00,2024-12-11 18:00:00+00:00,short,99763.5,100363.5,100363.5,99145.38,-600.0,1,stop_loss
2024-12-12 03:00:00+00:00,2024-12-12 06:00:00+00:00,short,100999.5,100515.29,101599.5,100515.29,484.21,3,take_profit
2024-12-12 16:00:00+00:00,2024-12-12 18:00:00+00:00,short,101450.0,100856.19,102050.0,100856.19,593.81,2,take_profit
2024-12-13 09:00:00+00:00,2024-12-13 11:00:00+00:00,short,100071.5,100671.5,100671.5,99887.33,-600.0,2,stop_loss
2024-12-13 21:00:00+00:00,2024-12-14 01:00:00+00:00,short,101233.5,101833.5,101833.5,101049.37,-600.0,4,stop_loss
2024-12-15 03:00:00+00:00,2024-12-15 04:00:00+00:00,short,101700.0,102300.0,102300.0,101437.76,-600.0,1,stop_loss
2024-12-15 05:00:00+00:00,2024-12-15 07:00:00+00:00,short,102117.5,101583.02,102717.5,101583.02,534.48,2,take_profit
2024-12-15 15:00:00+00:00,2024-12-15 16:00:00+00:00,short,102669.0,103269.0,103269.0,102402.2,-600.0,1,stop_loss
2024-12-16 02:00:00+00:00,2024-12-16 06:00:00+00:00,short,104583.0,105183.0,105183.0,104356.79,-600.0,4,stop_loss
2024-12-16 19:00:00+00:00,2024-12-16 21:00:00+00:00,short,106546.5,105648.87,107146.5,105648.87,897.63,2,take_profit
2024-12-17 04:00:00+00:00,2024-12-17 07:00:00+00:00,short,106465.5,107065.5,107065.5,106218.68,-600.0,3,stop_loss
2024-12-19 12:00:00+00:00,2024-12-19 14:00:00+00:00,short,101984.0,102584.0,102584.0,101333.81,-600.0,2,stop_loss
2024-12-21 01:00:00+00:00,2024-12-21 06:00:00+00:00,short,97306.0,97906.0,97906.0,97228.39,-600.0,5,stop_loss
2024-12-23 05:00:00+00:00,2024-12-23 06:00:00+00:00,short,95573.0,94783.34,96173.0,94783.34,789.66,1,take_profit
2024-12-23 11:00:00+00:00,2024-12-23 13:00:00+00:00,short,95905.0,95302.29,96505.0,95302.29,602.71,2,take_profit
2024-12-24 00:00:00+00:00,2024-12-24 02:00:00+00:00,short,94526.0,93750.9,95126.0,93750.9,775.1,2,take_profit
2024-12-24 19:00:00+00:00,2024-12-24 21:00:00+00:00,short,97569.5,98169.5,98169.5,97150.85,-600.0,2,stop_loss
2024-12-25 00:00:00+00:00,2024-12-25 02:00:00+00:00,short,98405.5,97824.25,99005.5,97824.25,581.25,2,take_profit
2024-12-27 04:00:00+00:00,2024-12-27 07:00:00+00:00,short,96224.5,95558.52,96824.5,95558.52,665.98,3,take_profit
2024-12-27 10:00:00+00:00,2024-12-27 14:00:00+00:00,short,96572.5,95835.14,97172.5,95835.14,737.36,4,take_profit
2024-12-28 23:00:00+00:00,2024-12-29 01:00:00+00:00,short,95259.5,94865.44,95859.5,94865.44,394.06,2,take_profit
2024-12-31 16:00:00+00:00,2024-12-31 17:00:00+00:00,short,94832.5,94086.21,95432.5,94086.21,746.29,1,take_profit
2025-01-01 16:00:00+00:00,2025-01-01 19:00:00+00:00,short,94070.0,94670.0,94670.0,93822.55,-600.0,3,stop_loss
2025-01-02 01:00:00+00:00,2025-01-02 04:00:00+00:00,short,94846.5,95446.5,95446.5,94707.51,-600.0,3,stop_loss
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,short,96438.5,97038.5,97038.5,96078.15,-600.0,1,stop_loss
2025-01-03 20:00:00+00:00,2025-01-04 00:00:00+00:00,short,98263.0,97914.5,98863.0,97914.5,348.5,4,take_profit
2025-01-04 21:00:00+00:00,2025-01-05 01:00:00+00:00,short,98336.0,98043.03,98936.0,98043.03,292.97,4,take_profit
2025-01-06 07:00:00+00:00,2025-01-06 09:00:00+00:00,short,99280.5,98925.04,99880.5,98925.04,355.46,2,take_profit
2025-01-06 21:00:00+00:00,2025-01-06 23:00:00+00:00,short,101565.5,102165.5,102165.5,101408.67,-600.0,2,stop_loss
2025-01-07 00:00:00+00:00,2025-01-07 03:00:00+00:00,short,102000.0,101545.65,102600.0,101545.65,454.35,3,take_profit
2025-01-08 23:00:00+00:00,2025-01-09 02:00:00+00:00,short,95048.0,94231.53,95648.0,94231.53,816.47,3,take_profit
2025-01-10 18:00:00+00:00,2025-01-11 00:00:00+00:00,short,94820.5,94322.99,95420.5,94322.99,497.51,6,take_profit
2025-01-12 18:00:00+00:00,2025-01-12 19:00:00+00:00,short,94958.5,94609.89,95558.5,94609.89,348.61,1,take_profit
2025-01-14 05:00:00+00:00,2025-01-14 08:00:00+00:00,short,94886.0,95486.0,95486.0,94624.63,-600.0,3,stop_loss
2025-01-14 12:00:00+00:00,2025-01-14 13:00:00+00:00,short,95953.5,96553.5,96553.5,95644.87,-600.0,1,stop_loss
2025-01-15 17:00:00+00:00,2025-01-15 18:00:00+00:00,short,98595.5,99195.5,99195.5,98202.99,-600.0,1,stop_loss
2025-01-15 20:00:00+00:00,2025-01-15 23:00:00+00:00,short,99534.5,100134.5,100134.5,99173.05,-600.0,3,stop_loss
2025-01-16 00:00:00+00:00,2025-01-16 03:00:00+00:00,short,99831.5,99339.53,100431.5,99339.53,491.97,3,take_profit
2025-01-16 21:00:00+00:00,2025-01-16 22:00:00+00:00,short,100101.5,99340.57,100701.5,99340.57,760.93,1,take_profit
2025-01-17 03:00:00+00:00,2025-01-17 05:00:00+00:00,short,101005.5,101605.5,101605.5,100579.03,-600.0,2,stop_loss
2025-01-17 09:00:00+00:00,2025-01-17 10:00:00+00:00,short,101801.0,102401.0,102401.0,101328.15,-600.0,1,stop_loss
2025-01-17 13:00:00+00:00,2025-01-17 14:00:00+00:00,short,102419.5,103019.5,103019.5,101931.37,-600.0,1,stop_loss
2025-01-17 20:00:00+00:00,2025-01-18 03:00:00+00:00,short,104642.5,103807.7,105242.5,103807.7,834.8,7,take_profit
2025-01-18 14:00:00+00:00,2025-01-18 15:00:00+00:00,short,103947.5,104547.5,104547.5,103314.57,-600.0,1,stop_loss
2025-01-19 07:00:00+00:00,2025-01-19 08:00:00+00:00,short,105151.5,104510.42,105751.5,104510.42,641.08,1,take_profit
2025-01-21 14:00:00+00:00,2025-01-21 15:00:00+00:00,short,103265.0,103865.0,103865.0,102918.43,-600.0,1,stop_loss
2025-01-21 20:00:00+00:00,2025-01-21 21:00:00+00:00,short,106104.0,106704.0,106704.0,105164.02,-600.0,1,stop_loss
2025-01-21 22:00:00+00:00,2025-01-22 01:00:00+00:00,short,105966.5,105459.86,106566.5,105459.86,506.64,3,take_profit
2025-01-24 09:00:00+00:00,2025-01-24 13:00:00+00:00,short,105112.5,105712.5,105712.5,104845.32,-600.0,4,stop_loss
2025-01-24 18:00:00+00:00,2025-01-24 20:00:00+00:00,short,106275.0,105260.79,106875.0,105260.79,1014.21,2,take_profit
2025-01-27 13:00:00+00:00,2025-01-27 14:00:00+00:00,short,100440.0,101040.0,101040.0,99325.42,-600.0,1,stop_loss
2025-01-27 15:00:00+00:00,2025-01-27 16:00:00+00:00,short,101071.0,99652.17,101671.0,99652.17,1418.83,1,take_profit
2025-01-28 00:00:00+00:00,2025-01-28 03:00:00+00:00,short,101813.0,102413.0,102413.0,101254.18,-600.0,3,stop_loss
2025-01-28 06:00:00+00:00,2025-01-28 14:00:00+00:00,short,102698.5,102246.81,103298.5,102246.81,451.69,8,take_profit
2025-01-30 07:00:00+00:00,2025-01-30 12:00:00+00:00,short,105085.5,104837.63,105685.5,104837.63,247.87,5,take_profit
2025-01-30 15:00:00+00:00,2025-01-30 17:00:00+00:00,short,105519.5,104989.65,106119.5,104989.65,529.85,2,take_profit
2025-01-31 16:00:00+00:00,2025-01-31 18:00:00+00:00,short,105041.5,103934.36,105641.5,103934.36,1107.14,2,take_profit
2025-02-03 11:00:00+00:00,2025-02-03 13:00:00+00:00,short,95070.5,94491.16,95670.5,94491.16,579.34,2,take_profit
2025-02-04 00:00:00+00:00,2025-02-04 01:00:00+00:00,short,101026.0,101626.0,101626.0,100375.93,-600.0,1,stop_loss
