timeframe,entry_mode,stop_loss_points,min_distance_from_ema_low,take_profit_mode,fixed_rr,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_exits,stop_loss_exits
1h,next_open,300.0,200.0,fixed_rr,2.0,1027,311,716,30.28,-28785.0,-28.03,0.866,-35100.0,2.09,310,716
2h,signal_close,600.0,400.0,fixed_rr,2.0,405,119,286,29.38,-28800.0,-71.11,0.832,-41400.0,4.22,119,286
2h,next_open,200.0,100.0,fixed_rr,2.0,645,167,478,25.89,-28800.0,-44.65,0.699,-31400.0,0.36,167,478
4h,signal_close,300.0,50.0,fixed_rr,1.0,316,110,206,34.81,-28800.0,-91.14,0.534,-29100.0,1.15,110,206
4h,next_open,300.0,50.0,fixed_rr,1.0,316,110,206,34.81,-28800.0,-91.14,0.534,-29400.0,0.17,110,206
4h,signal_close,200.0,150.0,fixed_rr,1.5,312,67,245,21.47,-28900.0,-92.63,0.41,-28900.0,1.07,67,245
4h,signal_close,200.0,200.0,fixed_rr,1.5,307,65,242,21.17,-28900.0,-94.14,0.403,-28900.0,1.07,65,242
1h,signal_close,1000.0,150.0,fixed_rr,1.5,720,277,443,38.47,-28984.5,-40.26,0.935,-47000.0,15.07,276,443
1h,next_open,1000.0,200.0,fixed_rr,2.0,630,201,429,31.9,-28985.0,-46.01,0.932,-52000.0,17.15,200,429
2h,next_open,500.0,150.0,fixed_rr,2.0,586,176,410,30.03,-29000.0,-49.49,0.859,-36000.0,2.82,176,410
2h,next_open,500.0,100.0,fixed_rr,1.0,604,273,331,45.2,-29000.0,-48.01,0.825,-34000.0,1.61,273,331
2h,next_open,500.0,150.0,fixed_rr,1.0,594,268,326,45.12,-29000.0,-48.82,0.822,-33500.0,1.59,268,326
2h,next_open,400.0,150.0,fixed_rr,1.5,610,215,395,35.25,-29000.0,-47.54,0.816,-32800.0,1.48,215,395
1h,signal_close,200.0,300.0,fixed_rr,1.0,765,310,455,40.52,-29000.0,-37.91,0.681,-29200.0,1.15,310,455
2h,next_open,300.0,50.0,fixed_rr,3.0,641,136,505,21.22,-29100.0,-45.4,0.808,-31500.0,1.51,136,505
2h,signal_close,300.0,100.0,fixed_rr,3.0,637,135,502,21.19,-29100.0,-45.68,0.807,-31500.0,2.49,135,502
2h,next_open,200.0,400.0,fixed_rr,1.5,428,113,315,26.4,-29100.0,-67.99,0.538,-30500.0,0.14,113,315
4h,signal_close,300.0,100.0,fixed_rr,1.0,315,109,206,34.6,-29100.0,-92.38,0.529,-29400.0,1.15,109,206
4h,next_open,300.0,100.0,fixed_rr,1.0,315,109,206,34.6,-29100.0,-92.38,0.529,-29700.0,0.17,109,206
2h,next_open,400.0,200.0,fixed_rr,1.5,583,204,379,34.99,-29200.0,-50.09,0.807,-32400.0,1.41,204,379
2h,next_open,200.0,50.0,fixed_rr,2.0,650,168,482,25.85,-29200.0,-44.92,0.697,-32000.0,0.38,168,482
4h,signal_close,200.0,50.0,fixed_rr,1.5,316,68,248,21.52,-29200.0,-92.41,0.411,-29200.0,1.07,68,248
2h,signal_close,800.0,200.0,fixed_rr,2.0,490,151,339,30.82,-29247.5,-59.69,0.892,-39200.0,6.67,151,338
