timeframe,entry_mode,stop_loss_points,min_distance_from_ema_low,take_profit_mode,fixed_rr,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_exits,stop_loss_exits
1h,next_open,600.0,50.0,ema_low,,1158,743,415,64.16,22545.31,19.47,1.096,-13747.87,1.92,766,391
1h,signal_close,800.0,100.0,ema_low,,1071,728,343,67.97,22274.27,20.8,1.094,-19521.15,3.34,780,290
1h,next_open,600.0,100.0,ema_low,,1125,715,410,63.56,22127.38,19.67,1.095,-13999.55,1.93,737,387
1h,next_open,800.0,100.0,ema_low,,1070,727,343,67.94,21696.49,20.28,1.091,-19542.15,2.34,779,290
1h,signal_close,800.0,50.0,ema_low,,1098,750,348,68.31,21629.41,19.7,1.09,-19269.97,3.33,804,293
1h,signal_close,600.0,600.0,fixed_rr,3.0,188,56,132,29.79,21600.0,114.89,1.273,-6000.0,8.62,56,132
1h,next_open,800.0,50.0,ema_low,,1097,749,348,68.28,21161.63,19.29,1.088,-19290.47,2.33,803,293
1h,next_open,500.0,100.0,ema_low,,1166,697,469,59.78,20794.17,17.83,1.091,-10829.1,1.64,708,457
1h,signal_close,1000.0,400.0,ema_low,,461,306,155,66.38,20487.73,44.44,1.155,-8876.31,3.79,332,129
1h,signal_close,600.0,200.0,ema_low,,961,589,372,61.29,20440.34,21.27,1.095,-11851.04,2.93,603,357
1h,signal_close,1000.0,100.0,ema_low,,1032,724,308,70.16,19642.71,19.03,1.083,-23622.69,3.69,807,224
1h,next_open,1000.0,400.0,ema_low,,461,307,154,66.59,19549.04,42.41,1.147,-8850.31,2.78,331,130
1h,signal_close,800.0,200.0,ema_low,,918,608,310,66.23,19364.72,21.09,1.088,-17974.35,3.38,647,270
1h,next_open,600.0,600.0,fixed_rr,3.0,188,55,133,29.26,19200.0,102.13,1.241,-6000.0,7.85,55,133
1h,signal_close,500.0,100.0,ema_low,,1167,695,472,59.55,19198.27,16.45,1.083,-10903.6,2.63,706,460
1h,next_open,600.0,200.0,ema_low,,961,589,372,61.29,19158.56,19.94,1.089,-11870.54,1.94,603,357
1h,next_open,1000.0,100.0,ema_low,,1033,725,308,70.18,19146.21,18.53,1.081,-23425.19,2.68,807,225
1h,next_open,500.0,50.0,ema_low,,1203,725,478,60.27,19126.55,15.9,1.082,-10877.24,1.62,735,467
1h,signal_close,500.0,400.0,fixed_rr,3.0,486,131,355,26.95,19000.0,39.09,1.107,-13500.0,7.91,131,355
1h,signal_close,1000.0,50.0,ema_low,,1058,747,311,70.6,18984.74,17.94,1.079,-23320.26,3.67,830,227
1h,next_open,500.0,200.0,ema_low,,986,564,422,57.2,18962.25,19.23,1.091,-8805.81,1.66,570,415
