entry_time,exit_time,entry,exit,stop_loss,take_profit,pnl,bars,reason
2025-07-24 10:00:00+00:00,2025-07-24 14:00:00+00:00,118483.5,118983.5,118983.5,118016.90471560229,-500.0,4,stop_loss
2025-08-04 02:00:00+00:00,2025-08-04 04:00:00+00:00,114648.5,114294.18633134288,115148.5,114294.18633134288,354.31366865712334,2,take_profit
2025-08-04 15:00:00+00:00,2025-08-04 16:00:00+00:00,114700.0,115200.0,115200.0,114456.81137601228,-500.0,1,stop_loss
2025-08-04 18:00:00+00:00,2025-08-04 20:00:00+00:00,115159.5,114660.2743025664,115659.5,114660.2743025664,499.2256974336051,2,take_profit
2025-08-06 20:00:00+00:00,2025-08-06 21:00:00+00:00,115229.5,114785.89710343117,115729.5,114785.89710343117,443.60289656883106,1,take_profit
2025-08-08 01:00:00+00:00,2025-08-08 01:00:00+00:00,117227.5,116773.22538223039,117727.5,116773.22538223039,454.2746177696099,0,take_profit
2025-08-10 14:00:00+00:00,2025-08-10 15:00:00+00:00,118416.0,118916.0,118916.0,118174.80363218214,-500.0,1,stop_loss
2025-08-11 08:00:00+00:00,2025-08-11 10:00:00+00:00,121547.5,121059.01950383482,122047.5,121059.01950383482,488.48049616518256,2,take_profit
2025-08-12 22:00:00+00:00,2025-08-13 01:00:00+00:00,119895.0,119467.74302720581,120395.0,119467.74302720581,427.2569727941882,3,take_profit
2025-08-13 13:00:00+00:00,2025-08-13 13:00:00+00:00,120266.5,120766.5,120766.5,119914.39224163421,-500.0,0,stop_loss
2025-08-13 15:00:00+00:00,2025-08-13 16:00:00+00:00,120892.5,121392.5,121392.5,120352.10297693944,-500.0,1,stop_loss
2025-08-14 02:00:00+00:00,2025-08-14 03:00:00+00:00,123366.0,123866.0,123866.0,122942.84897686384,-500.0,1,stop_loss
2025-08-15 05:00:00+00:00,2025-08-15 09:00:00+00:00,118793.0,118608.63703273828,119293.0,118608.63703273828,184.3629672617244,4,take_profit
2025-08-18 20:00:00+00:00,2025-08-18 22:00:00+00:00,116284.5,116784.5,116784.5,116030.64511833675,-500.0,2,stop_loss
2025-08-21 00:00:00+00:00,2025-08-21 02:00:00+00:00,114232.0,114732.0,114732.0,113871.23881640034,-500.0,2,stop_loss
2025-08-25 18:00:00+00:00,2025-08-25 19:00:00+00:00,112403.5,111483.1401191696,112903.5,111483.1401191696,920.3598808303941,1,take_profit
