window,tp_ema_low,entry_mode,stop_loss_points,min_distance_from_ema7_low,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_hits,stop_loss_hits,end_of_data
2y,8,next_open,200.0,150.0,1000,316,684,31.6,-2886.32,-2.89,0.979,-12343.9,0.65,315,684,1
2y,8,next_open,200.0,200.0,893,269,624,30.12,-781.56,-0.88,0.994,-10931.84,0.65,268,624,1
2y,8,next_open,200.0,300.0,654,177,477,27.06,813.01,1.24,1.009,-8668.8,0.65,177,477,0
2y,8,next_open,200.0,400.0,440,115,325,26.14,6998.87,15.91,1.108,-4307.09,0.63,115,325,0
2y,8,next_open,200.0,600.0,174,28,146,16.09,-4895.69,-28.14,0.832,-6031.46,0.49,28,146,0
2y,8,next_open,300.0,50.0,1066,466,600,43.71,-3387.02,-3.18,0.981,-16289.06,1.04,465,600,1
2y,8,next_open,300.0,100.0,1036,443,593,42.76,-4273.72,-4.13,0.976,-16743.55,1.05,442,593,1
2y,8,next_open,300.0,150.0,977,413,564,42.27,-482.57,-0.49,0.997,-14695.01,1.04,412,564,1
2y,8,next_open,300.0,200.0,875,351,524,40.11,-1254.24,-1.43,0.992,-14689.88,1.06,350,524,1
2y,8,next_open,300.0,300.0,647,239,408,36.94,1613.64,2.49,1.013,-11265.36,1.07,239,408,0
2y,8,next_open,300.0,400.0,436,153,283,35.09,6464.18,14.83,1.076,-5956.09,1.04,153,283,0
2y,8,next_open,300.0,600.0,174,42,132,24.14,-5802.39,-33.35,0.853,-9000.09,0.84,42,132,0
2y,8,next_open,400.0,50.0,1031,527,504,51.12,69.94,0.07,1.0,-12898.96,1.37,529,501,1
2y,8,next_open,400.0,100.0,1003,506,497,50.45,31.65,0.03,1.0,-13259.22,1.38,508,494,1
2y,8,next_open,400.0,150.0,948,473,475,49.89,3398.03,3.58,1.018,-13715.33,1.39,474,473,1
2y,8,next_open,400.0,200.0,851,407,444,47.83,2187.84,2.57,1.012,-11722.49,1.41,407,443,1
