entry_time,exit_time,entry,exit,stop_loss,take_profit,pnl,bars,reason
2026-01-26 20:00:00+00:00,2026-01-26 20:00:00+00:00,87974.0,87519.90653912563,88974.0,87519.90653912563,454.09346087437007,0,take_profit
2026-01-27 05:00:00+00:00,2026-01-27 06:00:00+00:00,88541.0,88274.93540356525,89541.0,88274.93540356525,266.06459643474955,1,take_profit
2026-01-28 03:00:00+00:00,2026-01-28 04:00:00+00:00,89248.0,88870.4238483257,90248.0,88870.4238483257,377.5761516742932,1,take_profit
2026-01-28 08:00:00+00:00,2026-01-28 08:00:00+00:00,89115.0,88927.3665301343,90115.0,88927.3665301343,187.63346986570104,0,take_profit
2026-01-28 11:00:00+00:00,2026-01-28 13:00:00+00:00,89376.5,90376.5,90376.5,89414.37115900648,-1000.0,2,stop_loss
2026-01-28 15:00:00+00:00,2026-01-28 15:00:00+00:00,89586.5,89275.67752694114,90586.5,89275.67752694114,310.8224730588554,0,take_profit
2026-01-28 19:00:00+00:00,2026-01-28 19:00:00+00:00,89500.0,89196.93898313372,90500.0,89196.93898313372,303.06101686628244,0,take_profit
2026-01-30 21:00:00+00:00,2026-01-31 06:00:00+00:00,83911.0,83767.3073776327,84911.0,83767.3073776327,143.6926223673072,9,take_profit
2026-02-02 15:00:00+00:00,2026-02-02 15:00:00+00:00,77795.0,78795.0,78795.0,77311.19374502022,-1000.0,0,stop_loss
2026-02-02 17:00:00+00:00,2026-02-02 20:00:00+00:00,78588.5,77995.60457035148,79588.5,77995.60457035148,592.8954296485172,3,take_profit
2026-02-06 03:00:00+00:00,2026-02-06 05:00:00+00:00,64962.5,65962.5,65962.5,63861.66120095547,-1000.0,2,stop_loss
2026-02-06 07:00:00+00:00,2026-02-06 09:00:00+00:00,64953.5,65953.5,65953.5,64392.129129989815,-1000.0,2,stop_loss
2026-02-06 21:00:00+00:00,2026-02-06 22:00:00+00:00,69984.5,70984.5,70984.5,69318.52031352241,-1000.0,1,stop_loss
2026-02-07 00:00:00+00:00,2026-02-07 04:00:00+00:00,70547.0,71547.0,71547.0,70054.40449427682,-1000.0,4,stop_loss
2026-02-07 22:00:00+00:00,2026-02-07 23:00:00+00:00,69466.0,68981.23371619242,70466.0,68981.23371619242,484.76628380757757,1,take_profit
2026-02-08 21:00:00+00:00,2026-02-08 21:00:00+00:00,70809.5,70613.85406857406,71809.5,70613.85406857406,195.64593142594094,0,take_profit
2026-02-09 05:00:00+00:00,2026-02-09 06:00:00+00:00,70974.5,70476.27510502527,71974.5,70476.27510502527,498.22489497473,1,take_profit
2026-02-09 19:00:00+00:00,2026-02-09 21:00:00+00:00,70373.0,69791.89052984763,71373.0,69791.89052984763,581.1094701523689,2,take_profit
2026-02-11 23:00:00+00:00,2026-02-11 23:00:00+00:00,67405.5,66891.71806441419,68405.5,66891.71806441419,513.7819355858082,0,take_profit
2026-02-12 13:00:00+00:00,2026-02-12 15:00:00+00:00,67835.5,67318.07507056976,68835.5,67318.07507056976,517.4249294302426,2,take_profit
2026-02-13 04:00:00+00:00,2026-02-13 06:00:00+00:00,66526.0,66091.17032459204,67526.0,66091.17032459204,434.8296754079638,2,take_profit
2026-02-13 21:00:00+00:00,2026-02-14 05:00:00+00:00,68750.0,68740.27651665684,69750.0,68740.27651665684,9.723483343157568,8,take_profit
2026-02-14 13:00:00+00:00,2026-02-14 13:00:00+00:00,69609.5,69318.83385812052,70609.5,69318.83385812052,290.6661418794829,0,take_profit
2026-02-14 22:00:00+00:00,2026-02-15 00:00:00+00:00,69901.0,69614.94042348015,70901.0,69614.94042348015,286.05957651985227,2,take_profit
2026-02-15 09:00:00+00:00,2026-02-15 12:00:00+00:00,70412.0,69918.14999753801,71412.0,69918.14999753801,493.85000246198615,3,take_profit
2026-02-16 11:00:00+00:00,2026-02-16 11:00:00+00:00,68769.0,68453.71141558085,69769.0,68453.71141558085,315.2885844191478,0,take_profit
2026-02-16 23:00:00+00:00,2026-02-17 02:00:00+00:00,68597.0,68371.00700565847,69597.0,68371.00700565847,225.99299434153363,3,take_profit
2026-02-18 06:00:00+00:00,2026-02-18 11:00:00+00:00,67620.0,67542.72510795241,68620.0,67542.72510795241,77.27489204758604,5,take_profit
2026-02-19 05:00:00+00:00,2026-02-19 09:00:00+00:00,66787.5,66741.54877216293,67787.5,66741.54877216293,45.95122783706756,4,take_profit
